route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
BNBR-4177,BNBR,"Beenleigh - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNBR-4179,BNBR,"Beenleigh - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNBR-4180,BNBR,"Beenleigh - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNBR-4181,BNBR,"Beenleigh - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNBR-4183,BNBR,"Beenleigh - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNBR-4185,BNBR,"Beenleigh - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNBR-4190,BNBR,"Beenleigh - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNBR-4193,BNBR,"Beenleigh - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNBR-4194,BNBR,"Beenleigh - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNBR-4195,BNBR,"Beenleigh - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNFG-4083,BNFG,"Beenleigh - Ferny Grove",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNFG-4084,BNFG,"Beenleigh - Ferny Grove",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNFG-4086,BNFG,"Beenleigh - Ferny Grove",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNFG-4087,BNFG,"Beenleigh - Ferny Grove",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNFG-4164,BNFG,"Beenleigh - Ferny Grove",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNFG-4165,BNFG,"Beenleigh - Ferny Grove",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNFG-4171,BNFG,"Beenleigh - Ferny Grove",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNFG-4172,BNFG,"Beenleigh - Ferny Grove",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNFG-4176,BNFG,"Beenleigh - Ferny Grove",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNFG-4177,BNFG,"Beenleigh - Ferny Grove",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNFG-4179,BNFG,"Beenleigh - Ferny Grove",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNFG-4180,BNFG,"Beenleigh - Ferny Grove",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNFG-4181,BNFG,"Beenleigh - Ferny Grove",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNFG-4183,BNFG,"Beenleigh - Ferny Grove",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNFG-4185,BNFG,"Beenleigh - Ferny Grove",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNFG-4190,BNFG,"Beenleigh - Ferny Grove",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNFG-4193,BNFG,"Beenleigh - Ferny Grove",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNFG-4194,BNFG,"Beenleigh - Ferny Grove",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNFG-4195,BNFG,"Beenleigh - Ferny Grove",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNVL-4196,BNVL,"Beenleigh - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/gold-coast-line,FFC425,FFFFFF
BNVL-4197,BNVL,"Beenleigh - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/gold-coast-line,FFC425,FFFFFF
BRBD-4083,BRBD,"Brisbane City - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BRBD-4084,BRBD,"Brisbane City - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BRBD-4086,BRBD,"Brisbane City - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BRBD-4087,BRBD,"Brisbane City - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BRBD-4164,BRBD,"Brisbane City - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BRBD-4165,BRBD,"Brisbane City - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BRBD-4171,BRBD,"Brisbane City - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BRBD-4172,BRBD,"Brisbane City - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BRBD-4176,BRBD,"Brisbane City - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BRBD-4177,BRBD,"Brisbane City - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BRBD-4179,BRBD,"Brisbane City - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BRBD-4180,BRBD,"Brisbane City - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BRBD-4181,BRBD,"Brisbane City - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
